Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,267.0,274.0,267.0,272.9800109863281,212.6769561767578,3820
2007-01-03,274.6000061035156,274.6000061035156,268.0,270.6600036621094,210.8694305419922,3410
2007-01-04,273.0,274.0,265.0,268.20001220703125,208.95285034179688,6085
2007-01-05,266.3999938964844,272.0,266.3999938964844,269.239990234375,209.7631072998047,4105
2007-01-08,268.20001220703125,270.739990234375,268.0,269.6400146484375,210.07476806640625,2990
2007-01-09,266.79998779296875,270.0,262.20001220703125,265.3299865722656,206.71681213378906,1920
2007-01-10,265.3999938964844,268.79998779296875,262.0,267.1300048828125,208.11924743652344,8980
2007-01-11,268.0,270.6000061035156,268.0,269.9599914550781,210.3240509033203,5035
2007-01-12,272.0,272.0,268.0,268.20001220703125,208.95285034179688,1535
2007-01-15,270.0,280.0,270.0,276.8900146484375,215.72317504882812,17695
2007-01-16,271.6000061035156,276.79998779296875,271.6000061035156,276.6000061035156,215.49722290039062,3260
2007-01-17,272.0400085449219,277.79998779296875,272.0400085449219,275.1300048828125,214.35195922851562,4810
2007-01-18,270.3999938964844,277.3999938964844,270.3999938964844,276.3500061035156,215.30245971679688,3180
2007-01-19,273.0,277.0,273.0,275.3599853515625,214.5311737060547,3435
2007-01-22,271.0,277.0,270.0,275.8800048828125,214.93630981445312,3295
2007-01-23,271.6400146484375,274.79998779296875,270.2200012207031,270.6600036621094,210.8694305419922,1590
2007-01-24,272.0400085449219,274.0,272.0,272.8399963378906,212.56787109375,3530
2007-01-25,268.0,275.0,268.0,274.3500061035156,213.7442626953125,1700
2007-01-29,270.3999938964844,288.07000732421875,270.3999938964844,288.07000732421875,224.43344116210938,31985
2007-01-31,298.0,299.0,282.0,283.6700134277344,221.0054473876953,20300
2007-02-01,290.0,290.0,278.0,281.0,218.9252166748047,2135
2007-02-02,284.0,287.0,280.20001220703125,283.510009765625,220.88079833984375,5720
2007-02-05,282.0,286.0,276.0,277.3699951171875,216.09713745117188,44935
2007-02-06,278.0,281.79998779296875,275.2200012207031,275.739990234375,214.82725524902344,4210
2007-02-07,275.6000061035156,278.7900085449219,272.010009765625,272.7300109863281,212.48214721679688,7515
2007-02-08,271.3999938964844,272.0,267.6000061035156,269.3999938964844,209.8877716064453,5975
2007-02-09,270.0,270.0,266.0199890136719,267.489990234375,208.3997039794922,2260
2007-02-12,265.3999938964844,268.0,263.20001220703125,263.9599914550781,205.6494903564453,5725
2007-02-13,264.0,266.0,256.0,256.8800048828125,200.13351440429688,14805
2007-02-14,251.22000122070312,280.0,245.0,260.0899963378906,202.63442993164062,3630
2007-02-15,269.79998779296875,269.79998779296875,259.79998779296875,262.8500061035156,204.7847137451172,845
2007-02-19,261.0,263.20001220703125,256.0,259.8399963378906,202.43963623046875,7210
2007-02-20,259.0,261.6000061035156,255.0,255.14999389648438,198.7856903076172,1940
2007-02-21,253.39999389648438,263.6000061035156,252.0,255.38999938964844,198.97265625,1470
2007-02-22,254.39999389648438,254.39999389648438,242.39999389648438,249.02999877929688,194.01766967773438,4200
2007-02-23,258.0,259.0,245.60000610351562,247.8000030517578,193.05934143066406,7600
2007-02-26,249.0,253.60000610351562,245.60000610351562,248.0399932861328,193.246337890625,410
2007-02-27,248.39999389648438,253.0,248.39999389648438,249.8000030517578,194.6175537109375,1805
2007-02-28,247.0,273.3999938964844,226.1999969482422,247.4199981689453,192.76327514648438,33820
2007-03-01,244.39999389648438,248.0,242.39999389648438,245.42999267578125,191.21290588378906,5640
2007-03-02,246.0,248.0,240.0,240.72000122070312,187.54336547851562,12920
2007-03-05,238.0,238.0,230.0,232.13999938964844,180.85879516601562,4080
2007-03-06,243.8000030517578,244.0,232.0,234.5,182.69740295410156,2225
2007-03-07,242.8000030517578,242.8000030517578,216.1999969482422,220.64999389648438,171.906982421875,13415
2007-03-08,222.0,225.0,213.11000061035156,220.8699951171875,172.07833862304688,13730
2007-03-09,216.0,222.0,216.0,220.1199951171875,171.49404907226562,6710
2007-03-12,224.0,224.0,220.0,220.72000122070312,171.96151733398438,12920
2007-03-13,227.60000610351562,233.60000610351562,222.60000610351562,231.55999755859375,180.40684509277344,3290
2007-03-14,224.0,224.0,221.39999389648438,222.22000122070312,173.13014221191406,2430
2007-03-15,222.0,229.7100067138672,222.0,222.69000244140625,173.4962921142578,1050
2007-03-16,222.39999389648438,228.8000030517578,221.05999755859375,227.88999938964844,177.54759216308594,2995
2007-03-19,224.0,227.8000030517578,221.1999969482422,227.07000732421875,176.9087677001953,1585
2007-03-20,227.0,227.6999969482422,227.0,227.6999969482422,177.3995819091797,1850
2007-03-21,222.60000610351562,234.0,222.60000610351562,230.10000610351562,179.26939392089844,625
2007-03-22,227.10000610351562,230.0,226.02000427246094,229.52000427246094,178.81752014160156,5950
2007-03-23,230.0,232.0,227.0,228.0399932861328,177.66445922851562,13300
2007-03-26,228.0,229.0,226.5,227.99000549316406,177.62551879882812,19485
2007-03-28,228.0,229.60000610351562,223.1999969482422,226.99000549316406,176.84642028808594,10185
2007-03-29,224.0,228.8000030517578,224.0,228.27000427246094,177.84365844726562,11680
2007-03-30,231.5800018310547,235.0,229.0399932861328,230.69000244140625,179.72909545898438,1660
2007-04-02,223.1999969482422,232.0,223.1999969482422,230.74000549316406,179.7680206298828,1475
2007-04-03,228.0,230.0,228.0,228.22000122070312,177.8046875,42770
2007-04-04,232.8800048828125,234.8000030517578,231.1699981689453,232.05999755859375,180.79641723632812,8780
2007-04-05,236.99000549316406,236.99000549316406,230.1999969482422,232.83999633789062,181.40411376953125,2700
2007-04-09,235.0,235.0,232.0,233.0,181.52877807617188,1850
2007-04-10,233.1999969482422,235.1999969482422,233.1999969482422,235.0,183.08692932128906,315
2007-04-11,232.0399932861328,239.0,232.0399932861328,236.2100067138672,184.0296630859375,44265
2007-04-12,235.0,240.0,235.0,238.00999450683594,185.43203735351562,4085
2007-04-13,224.0,245.39999389648438,224.0,243.08999633789062,189.3898162841797,2115
2007-04-16,244.0,255.0,244.0,253.61000061035156,197.5858917236328,4055
2007-04-17,253.60000610351562,253.60000610351562,250.00999450683594,251.2899932861328,195.77835083007812,1535
2007-04-18,244.1999969482422,251.60000610351562,244.1999969482422,250.1999969482422,194.9291534423828,1380
2007-04-19,251.5,266.0,249.60000610351562,259.8399963378906,202.43963623046875,2950
2007-04-20,256.0,261.0,255.39999389648438,259.9100036621094,202.4941864013672,6310
2007-04-23,262.0,265.0,262.0,264.1700134277344,205.8131103515625,2070
2007-04-24,259.0,265.0,259.0,261.5299987792969,203.7563018798828,2710
2007-04-25,251.0,267.0,251.0,262.95001220703125,204.86260986328125,121550
2007-04-26,262.0,289.25,262.0,289.25,225.352783203125,119535
2007-04-27,300.0,305.3999938964844,282.3999938964844,293.30999755859375,228.515869140625,68060
2007-04-30,289.3999938964844,308.79998779296875,289.3999938964844,304.1400146484375,236.95346069335938,44510
2007-05-03,302.20001220703125,309.9800109863281,302.0799865722656,304.6700134277344,237.36643981933594,66475
2007-05-04,308.0,309.0,303.0,305.8900146484375,238.31687927246094,22500
2007-05-07,303.6000061035156,313.0,303.6000061035156,308.0299987792969,239.98411560058594,65535
2007-05-08,306.0,319.79998779296875,306.0,312.9100036621094,243.78610229492188,42555
2007-05-09,312.0,313.0,300.0,301.2900085449219,234.73309326171875,35675
2007-05-10,305.0,309.6000061035156,301.0,302.9700012207031,236.04193115234375,16440
2007-05-11,300.0,310.0,300.0,309.489990234375,241.1216278076172,29870
2007-05-14,309.0,315.0,298.0199890136719,301.8299865722656,235.15379333496094,19085
2007-05-15,305.760009765625,307.3999938964844,301.0,303.94000244140625,236.79766845703125,13155
2007-05-16,302.0,302.0,296.0199890136719,298.1600036621094,232.29452514648438,7405
2007-05-17,298.20001220703125,300.0,295.0,295.239990234375,230.01950073242188,5085
2007-05-18,295.0,314.0,295.0,302.0299987792969,235.3096160888672,9065
2007-05-21,304.0,308.0,301.4599914550781,304.489990234375,237.22618103027344,10370
2007-05-22,307.989990234375,308.0,297.4200134277344,299.6600036621094,233.4631805419922,24110
2007-05-23,301.20001220703125,301.20001220703125,298.0,298.8500061035156,232.8320770263672,27565
2007-05-24,299.0,301.6000061035156,297.20001220703125,297.4200134277344,231.71795654296875,10280
2007-05-25,299.79998779296875,301.0,297.2200012207031,299.2300109863281,233.1281280517578,6775
2007-05-28,302.0,312.0,302.0,306.45001220703125,238.75320434570312,58640
2007-05-29,307.0,308.95001220703125,304.0,305.79998779296875,238.2467803955078,5995
2007-05-30,308.0,308.0,300.0,300.42999267578125,234.06297302246094,3810
2007-05-31,300.0,306.6000061035156,300.0,303.6499938964844,236.5717010498047,3965
2007-06-01,305.0199890136719,305.79998779296875,296.20001220703125,300.6600036621094,234.24221801757812,11455
2007-06-04,300.20001220703125,310.0,297.20001220703125,299.9700012207031,233.7047119140625,21400
2007-06-05,296.3999938964844,303.0,296.3999938964844,298.92999267578125,232.89442443847656,4250
2007-06-06,301.6000061035156,301.6000061035156,295.0400085449219,296.9599914550781,231.359619140625,1385
2007-06-07,299.8999938964844,300.0,299.0,299.0,232.9489288330078,4120
2007-06-08,296.0,302.0,296.0,300.3500061035156,234.00074768066406,89935
2007-06-11,305.0199890136719,305.0199890136719,297.25,297.3900146484375,231.69461059570312,4065
2007-06-12,296.0199890136719,298.79998779296875,286.3999938964844,288.3599853515625,224.65939331054688,4120
2007-06-13,297.0,297.0,292.510009765625,292.80999755859375,228.1263885498047,505
2007-06-14,297.0,297.20001220703125,290.0,291.4200134277344,227.04339599609375,2035
2007-06-15,295.989990234375,297.0,290.0,291.75,227.3004913330078,8770
2007-06-18,288.3999938964844,301.760009765625,285.0,287.8999938964844,224.30099487304688,12445
2007-06-19,294.0,299.0,293.20001220703125,297.760009765625,231.98289489746094,2780
2007-06-20,301.0,303.2200012207031,290.0,292.6099853515625,227.97056579589844,9865
2007-06-21,303.3599853515625,303.3999938964844,290.20001220703125,294.239990234375,229.240478515625,5290
2007-06-22,290.0,297.0,289.3999938964844,291.07000732421875,226.77072143554688,3315
2007-06-25,290.0,292.3999938964844,278.0,282.20001220703125,219.86016845703125,5855
2007-06-26,283.0,286.20001220703125,282.0,285.0,222.04164123535156,2900
2007-06-27,285.010009765625,288.0,285.010009765625,286.79998779296875,223.44400024414062,1130
2007-06-28,285.0,287.20001220703125,285.0,287.0899963378906,223.66990661621094,4185
2007-06-29,284.2200012207031,290.0,284.2200012207031,285.92999267578125,222.7661895751953,1945
2007-07-02,287.20001220703125,288.0,286.0,286.79998779296875,223.44400024414062,1425
2007-07-03,287.0,288.0,286.0,286.1300048828125,222.9220428466797,3290
2007-07-04,286.0,287.75,283.0,285.32000732421875,222.2909698486328,2425
2007-07-05,278.0199890136719,291.3999938964844,273.04998779296875,279.1499938964844,217.4839324951172,4445
2007-07-06,286.19000244140625,287.79998779296875,281.0,282.0899963378906,219.77444458007812,5875
2007-07-09,284.79998779296875,284.79998779296875,280.0,280.2200012207031,218.31756591796875,5525
2007-07-10,284.6000061035156,285.0,280.0,283.9200134277344,221.2002410888672,2160
2007-07-11,278.3999938964844,286.0,278.3999938964844,282.2200012207031,219.8757781982422,1725
2007-07-12,296.0,296.0,282.0,282.3399963378906,219.96925354003906,875
2007-07-13,287.70001220703125,287.70001220703125,277.79998779296875,278.239990234375,216.77491760253906,3005
2007-07-16,281.0,281.0,276.6099853515625,276.6199951171875,215.5128173828125,4305
2007-07-17,278.20001220703125,278.9800109863281,273.3999938964844,274.0799865722656,213.533935546875,2570
2007-07-18,279.79998779296875,279.79998779296875,273.0,276.25,215.2245635986328,2230
2007-07-19,277.79998779296875,277.79998779296875,273.79998779296875,274.1400146484375,213.58065795898438,2785
2007-07-20,282.0,282.0,269.6000061035156,273.3599853515625,212.97299194335938,4315
2007-07-23,278.79998779296875,278.79998779296875,267.3999938964844,269.1000061035156,209.65408325195312,1560
2007-07-24,270.0,275.3999938964844,261.0199890136719,267.79998779296875,208.64122009277344,1840
2007-07-25,259.3999938964844,278.0,259.3999938964844,265.2799987792969,206.6779022216797,1950
2007-07-26,265.5799865722656,267.79998779296875,265.3999938964844,267.6199951171875,208.50096130371094,1645
2007-07-27,266.0,270.79998779296875,260.79998779296875,264.54998779296875,206.10911560058594,3340
2007-07-30,256.0,270.0,256.0,265.1199951171875,206.5532684326172,5685
2007-07-31,266.0,266.0,262.1000061035156,263.239990234375,205.08851623535156,3275
2007-08-01,246.0,265.0,246.0,253.1999969482422,197.26644897460938,7545
2007-08-02,277.79998779296875,277.79998779296875,256.04998779296875,260.19000244140625,202.7123565673828,2180
2007-08-03,267.0,267.0,258.3999938964844,258.3999938964844,201.31773376464844,2190
2007-08-06,254.0,256.3999938964844,245.60000610351562,246.32000732421875,191.9063262939453,16875
2007-08-07,245.8000030517578,253.99000549316406,245.8000030517578,249.85000610351562,194.65650939941406,4560
2007-08-08,251.0,256.3999938964844,248.0,253.14999389648438,197.22747802734375,7235
2007-08-09,250.1999969482422,259.6000061035156,250.1999969482422,253.82000732421875,197.74949645996094,2925
2007-08-10,250.1999969482422,255.1999969482422,248.3800048828125,253.1699981689453,197.24310302734375,845
2007-08-13,250.22000122070312,257.0,250.22000122070312,254.1300048828125,197.99102783203125,4420
2007-08-14,252.0,256.0,252.0,255.8699951171875,199.34661865234375,2280
2007-08-16,250.0,255.0,240.0,251.82000732421875,196.1913299560547,9195
2007-08-17,254.0,256.0,250.0,255.27999877929688,198.88697814941406,7195
2007-08-20,256.0,261.79998779296875,255.4199981689453,259.3900146484375,202.0890655517578,2190
2007-08-21,260.1600036621094,260.1600036621094,252.0,252.00999450683594,196.33934020996094,320
2007-08-22,250.39999389648438,264.0,233.99000549316406,249.07000732421875,194.04879760742188,3505
2007-08-23,250.89999389648438,256.0,247.05999755859375,247.63999938964844,196.8871612548828,1600
2007-08-24,245.16000366210938,254.0,245.16000366210938,247.69000244140625,196.92691040039062,795
